UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,SOUNDDISC,2021,12,2,The Titan's curse / Rick Riordan.,,"Riordan, Rick","Jackson Percy Fictitious character Juvenile sound recordings, Artemis Greek deity Fiction Juvenile sound recordings, Mythology Greek Fiction Juvenile sound recordings, Animals Mythical Fiction Juvenile sound recordings, Monsters Fiction Juvenile sound recordings, Titans Mythology Fiction Juvenile sound recordings, Quests Expeditions Juvenile sound recordings, Imaginary wars and battles Juvenile sound recordings, Missing persons Investigation Juvenile sound recordings, Mythology Greek Fiction, Artemis Greek deity Fiction, Animals Mythical Fiction, Monsters Fiction, Titans Mythology Fiction, Fantasy fiction, Childrens audiobooks, Audiobooks, Young adult literature","Random House/Listening Library,",[2007]
Digital,OverDrive,EBOOK,2021,12,7,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1",,Rick Riordan,"Fantasy, Juvenile Fiction, Juvenile Literature, Mythology",Disney Digital Books,2019
Digital,OverDrive,EBOOK,2021,12,14,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1",,Rick Riordan,"Fantasy, Juvenile Fiction, Mythology",Disney Digital Books,2011
Digital,OverDrive,EBOOK,2021,12,6,Demigods and Monsters: Your Favorite Authors on Rick Riordan's Percy Jackson and the Olympians Series,,Rick Riordan,"Juvenile Fiction, Science Fiction","Random House, Inc.",2013
Physical,Horizon,SOUNDDISC,2021,12,1,The lightning thief : the Percy Jackson musical : original cast recording.,,"Rokicki, Rob","Musicals, Musicals","Broadway Records,",[2017]
Physical,Horizon,BOOK,2021,12,3,"Percy Jackson & the Olympians. Book two, The sea of monsters : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; lettering by Chris Dickey.",,"Riordan, Rick","Riordan Rick Sea of monsters Adaptations, Jackson Percy Fictitious character Comic books strips etc, Mythology Greek Comic books strips etc, Monsters Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Graphic novels","Disney-Hyperion Books,",[2013]
Digital,OverDrive,EBOOK,2021,12,22,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5",,Rick Riordan,"Juvenile Fiction, Mythology",Disney Digital Books,2011
Digital,OverDrive,AUDIOBOOK,2021,12,11,Percy Jackson's Greek Gods (unabridged),,Rick Riordan,"Fantasy, Juvenile Fiction, Juvenile Literature, Mythology",Books on Tape,2014
Physical,Horizon,BOOK,2021,12,21,"Percy Jackson & the Olympians. Book one, The lightning thief : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by José Villarrubia ; layouts by Orpheus Collar ; lettering by Chris Dickey.",,"Riordan, Rick","Hades Greek deity Comic books strips etc, Mythology Greek Comic books strips etc, Camps Comic books strips etc, Friendship Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Zeus Greek deity Comic books strips etc, Cartoons and comics, Graphic novels, Fantasy comics","Disney/Hyperion Books,",2010.
Digital,OverDrive,EBOOK,2021,12,5,"The Titan's Curse: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 3",,Rick Riordan,"Comic and Graphic Books, Juvenile Fiction, Juvenile Literature, Mythology",Disney Digital Books,2016
